part_family,operation_id,machine,time_per_unit
NF01,OP010,M05,12.780176670011114
NF01,OP010,M06,12.70372519377405
NF01,OP010,M07,12.627731053015966
NF01,OP010,M08,12.552191511939586
NF01,OP010,M10,12.477103851113274
NF01,OP010,M11,12.402465367373132
NF01,OP010,M13,12.328273373725684
NF01,OP010,M14,12.254525199251143
NF01,OP010,M15,12.181218189007268
NF01,OP010,M16,12.108349703933767
NF01,OP010,M17,12.035917120757315
NF01,OP010,M18,11.963917831897088
NF01,OP010,M19,11.892349245370914
NF01,OP010,M20,11.82120878470195
NF01,OP010,M21,11.750493888825927
NF01,OP010,M22,11.680202011998956
NF01,OP010,M23,11.610330623705881
NF01,OP010,M24,11.540877208569176
NF01,OP010,M25,11.471839266258396
NF01,OP010,M26,11.403214311400161
NF01,OP010,M27,11.334999873488686
NF01,OP010,M28,11.267193496796837
NF01,OP010,M29,11.19979274028773
NF01,OP010,M30,11.132795177526855
NF01,OP010,M31,11.066198396594713
NF01,OP010,M34,11.0
NF01,OP010,M36,10.934197604593287
NF01,OP010,M37,10.868788841481235
NF01,OP010,M40,10.803771355941308
NF01,OP010,M45,10.739142807337002
NF01,OP010,M46,10.67490086903359
NF01,OP010,M47,10.611043228314355
NF01,OP010,M50,10.54756758629733
NF01,OP010,M51,10.48447165785255
NF01,OP010,M52,10.42175317151978
NF01,OP010,M53,10.359409869426736
NF01,OP010,M54,10.297439507207807
NF01,OP010,M55,10.235839853923263
NF01,OP010,M56,10.174608691978932
NF01,OP010,M57,10.113743817046371
NF01,OP010,M58,10.05324303798351
NF01,OP010,M59,9.993104176755768
NF01,OP010,M60,9.933325068357645
NF01,OP010,M61,9.873903560734783
NF01,OP010,M62,9.814837514706491
NF01,OP010,M63,9.756124803888731
NF01,OP010,M64,9.697763314617578
NF01,OP010,M65,9.639750945873105
NF01,OP010,M66,9.582085609203782
NF01,OP010,M67,9.524765228651257
NF01,OP010,M68,9.467787740675636
NF01,OP020,M05,9.294673941826264
NF01,OP020,M06,9.23907286819931
NF01,OP020,M07,9.183804402193429
NF01,OP020,M08,9.12886655413788
NF01,OP020,M10,9.074257346264199
NF01,OP020,M11,9.019974812635006
NF01,OP020,M13,8.966016999073224
NF01,OP020,M14,8.912381963091741
NF01,OP020,M15,8.859067773823467
NF01,OP020,M16,8.80607251195183
NF01,OP020,M17,8.753394269641683
NF01,OP020,M18,8.701031150470609
NF01,OP020,M19,8.648981269360664
NF01,OP020,M20,8.597242752510509
NF01,OP020,M21,8.545813737327947
NF01,OP020,M22,8.494692372362877
NF01,OP020,M23,8.44387681724064
NF01,OP020,M24,8.393365242595765
NF01,OP020,M25,8.343155830006106
NF01,OP020,M26,8.29324677192739
NF01,OP020,M27,8.243636271628136
NF01,OP020,M28,8.194322543124972
NF01,OP020,M29,8.14530381111835
NF01,OP020,M30,8.096578310928622
NF01,OP020,M31,8.04814428843252
NF01,OP020,M34,8.0
NF01,OP020,M36,7.952143712431481
NF01,OP020,M37,7.904573702895444
NF01,OP020,M40,7.857288258866406
NF01,OP020,M45,7.810285678063274
NF01,OP020,M46,7.763564268388065
NF01,OP020,M47,7.717122347864985
NF01,OP020,M50,7.670958244579876
NF01,OP020,M51,7.625070296620037
NF01,OP020,M52,7.579456852014386
NF01,OP020,M53,7.53411626867399
NF01,OP020,M54,7.489046914332951
NF01,OP020,M55,7.444247166489646
NF01,OP020,M56,7.399715412348315
NF01,OP020,M57,7.355450048760998
NF01,OP020,M58,7.3114494821698255
NF01,OP020,M59,7.2677121285496495
NF01,OP020,M60,7.224236413351014
NF01,OP020,M61,7.181020771443478
NF01,OP020,M62,7.138063647059266
NF01,OP020,M63,7.09536349373726
NF01,OP020,M64,7.052918774267329
NF01,OP020,M65,7.010727960634986
NF01,OP020,M66,6.968789533966387
NF01,OP020,M67,6.927101984473641
NF01,OP020,M68,6.8856638114004625
NF02,OP010,M05,11.502159003010004
NF02,OP010,M06,11.433352674396646
NF02,OP010,M07,11.36495794771437
NF02,OP010,M08,11.29697236074563
NF02,OP010,M10,11.229393466001948
NF02,OP010,M11,11.16221883063582
NF02,OP010,M13,11.095446036353115
NF02,OP010,M14,11.02907267932603
NF02,OP010,M15,10.963096370106541
NF02,OP010,M16,10.89751473354039
NF02,OP010,M17,10.832325408681584
NF02,OP010,M18,10.76752604870738
NF02,OP010,M19,10.703114320833823
NF02,OP010,M20,10.639087906231754
NF02,OP010,M21,10.575444499943334
NF02,OP010,M22,10.51218181079906
NF02,OP010,M23,10.449297561335293
NF02,OP010,M24,10.386789487712258
NF02,OP010,M25,10.324655339632557
NF02,OP010,M26,10.262892880260145
NF02,OP010,M27,10.201499886139818
NF02,OP010,M28,10.140474147117153
NF02,OP010,M29,10.079813466258958
NF02,OP010,M30,10.01951565977417
