part_family,probability,arrival_model,lambda0,quantity_distribution,minimum,mode,maximum,mean
NF01,0.28100448214059254,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF02,0.0562008964281185,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
NF03,0.09366816071353085,homogeneous_poisson,12.0,triangular,124.7212884964319,249.4425769928638,374.1638654892957,249.4425769928638
NF04,0.03512556026757407,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF05,0.14050224107029627,homogeneous_poisson,12.0,triangular,124.7212884964319,249.4425769928638,374.1638654892957,249.4425769928638
NF06,0.04014349744865607,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
NF07,0.07025112053514813,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF08,0.031222720237843615,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
NF09,0.04683408035676542,homogeneous_poisson,12.0,triangular,124.7212884964319,249.4425769928638,374.1638654892957,249.4425769928638
NF10,0.02810044821405925,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF11,0.021615729395430196,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
NF12,0.017562780133787034,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF13,0.02341704017838271,homogeneous_poisson,12.0,triangular,124.7212884964319,249.4425769928638,374.1638654892957,249.4425769928638
NF14,0.018733632142706166,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF15,0.02554586201278114,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
NF16,0.020071748724328035,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF17,0.025,homogeneous_poisson,12.0,triangular,83.14752566428794,166.29505132857588,249.44257699286382,166.29505132857588
NF18,0.025,homogeneous_poisson,12.0,triangular,41.57376283214397,83.14752566428794,124.72128849643191,83.14752566428794
