scenario_id,status,mean_flow_min,median_flow_min,p95_flow_min,mean_wip,mean_queue,machine_utilization,worker_available_utilization,setup_worker_utilization,mean_setup_wait_min,throughput_jobs_per_day,wip_slope_jobs_per_day,demand_sha256,peak_processing_machines,algorithm,seed,replication,arrival_scale,batch_scale,lambda_jobs_day,world_sha256,code_sha256,arrival_rate_realized
a0.5_b0.5,COMPLETE,1630.8313186747657,1477.2339776757663,2911.7502765222494,8.013546929020501,0.7341447067778307,0.10662819649385016,0.11471625095744575,0.06047980691404378,0.15899513776345148,6.0,,4d944d0052a1e1f7cd951fc10b02f1522a842427c455266d06036cca32cf4615,13,FIFO,20260911,0,0.5,0.5,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
a0.5_b0.5,COMPLETE,1628.8595044328345,1515.7639571494556,2894.9715116390566,8.056718929884081,0.770266168835122,0.10665270030138699,0.1150028789158417,0.06023847915646888,0.15413290113457895,6.0,,4d944d0052a1e1f7cd951fc10b02f1522a842427c455266d06036cca32cf4615,13,SPT,20260911,0,0.5,0.5,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
a0.5_b0.5,COMPLETE,1681.7660608381009,1268.376404893018,3547.547488364018,8.552545683600405,0.7942317037697749,0.11353273791458697,0.10395045639677741,0.08128849041161763,0.7492316114080935,7.666666666666667,,ddec73ee3e9e8d4bc50fb214a55291d95ada9788139d5f937fd35afc68488ceb,13,FIFO,20260911,1,0.5,0.5,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,6.0
a0.5_b0.5,COMPLETE,1679.6643653103747,1301.0239911272747,3413.1908393745034,8.576427473157217,0.7900758758504389,0.1138408777051874,0.10509174489331742,0.08071000601847257,1.9956100646635604,7.666666666666667,,ddec73ee3e9e8d4bc50fb214a55291d95ada9788139d5f937fd35afc68488ceb,12,SPT,20260911,1,0.5,0.5,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,6.0
a0.5_b0.75,COMPLETE,2420.7553992402845,2205.8244249858735,4159.977501255248,11.505320097213307,1.1248996599180987,0.15197917618603166,0.16309174014673022,0.04618344258920748,0.9569273166993753,6.0,,146b899c8e59ceda5f07fa9d1f5ca8900e897df992f19d4c6cbfab7181b7a137,15,FIFO,20260911,0,0.5,0.75,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
a0.5_b0.75,COMPLETE,2423.1119384327526,2214.6385712428537,4162.687422595889,11.429158406181193,1.087165766699972,0.15141630468570025,0.1617924109192782,0.053337793266004956,0.1535527479003659,6.0,,146b899c8e59ceda5f07fa9d1f5ca8900e897df992f19d4c6cbfab7181b7a137,15,SPT,20260911,0,0.5,0.75,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
a0.5_b0.75,COMPLETE,2559.506370513553,1872.7293236041573,5282.217625377189,12.14681565499885,1.118575056921579,0.16144194971086898,0.14799707594879777,0.07956863579631387,2.614836079444348,6.0,,5ce39dbef1349a5eb9e19466eb631b46b4b8c9b157a7969f5dc80a793668c33b,15,FIFO,20260911,1,0.5,0.75,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,6.0
a0.5_b0.75,COMPLETE,2579.7462953765785,1902.5322185075065,5436.665875634625,12.171440803568789,1.2111987215716458,0.16040908034628987,0.14752696912878238,0.08253098215299207,1.5361326650214064,6.0,,5ce39dbef1349a5eb9e19466eb631b46b4b8c9b157a7969f5dc80a793668c33b,15,SPT,20260911,1,0.5,0.75,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,6.0
a0.5_b1,COMPLETE,3247.4574149334226,2960.32592069202,5542.460927272028,14.651467192276385,1.5203827313376301,0.19217410628685866,0.20012571445252636,0.0557923404884677,0.8096563991091822,5.333333333333333,,2efc04487ab6081dd928094b55d878df91e54532225b0c90a8115d8a56f0eceb,17,FIFO,20260911,0,0.5,1.0,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
a0.5_b1,COMPLETE,3232.588023904084,2950.0681539990464,5546.905439304004,14.627374929200103,1.4928599995481382,0.19223648649936578,0.2006979496614588,0.05659473166629327,0.13450426326538867,5.333333333333333,,2efc04487ab6081dd928094b55d878df91e54532225b0c90a8115d8a56f0eceb,17,SPT,20260911,0,0.5,1.0,6.0,df78cdc094fecc3231d7bc26d2429f53de4ddf32d5d5364a5b0e1c492d3f31da,d11fe87f0d19dd047ac6ba0fdc74f1f4bbf379525f59864e2c3e83a2f6139503,3.6666666666666665
